,subject,predicate,object,from,until,object_has_years,subject_has_years
6037,Phyllis Huffman,died in,United States,2006-03-02,2006-03-02,False,False
6038,Arthur Kornberg,died in,United States,2007-10-26,2007-10-26,False,False
6039,Allan Jones (actor),died in,United States,1992-06-27,1992-06-27,False,False
6040,David Keilin,died in,Cambridge,1963-02-27,1963-02-27,False,False
6041,W. V. D. Hodge,died in,Cambridge,1975-07-07,1975-07-07,False,False
6042,Max Perutz,died in,Cambridge,2002-02-06,2002-02-06,False,False
6043,Martin Ryle,died in,Cambridge,1984-10-14,1984-10-14,False,False
6044,Lise Meitner,died in,Cambridge,1968-10-27,1968-10-27,False,False
6045,Andrew Huxley,died in,Cambridge,2012-05-30,2012-05-30,False,False
6046,George Paget Thomson,died in,Cambridge,1975-09-10,1975-09-10,False,False
6047,Rose Frisch,died in,Cambridge,2015-01-30,2015-01-30,False,False
6048,Henry Hallett Dale,died in,Cambridge,1968-07-23,1968-07-23,False,False
6049,Archibald Hill,died in,Cambridge,1977-06-03,1977-06-03,False,False
6050,George Batchelor,died in,Cambridge,2000-03-30,2000-03-30,False,False
6051,James Clerk Maxwell,died in,Cambridge,1879-11-05,1879-11-05,False,False
6052,J. J. Thomson,died in,Cambridge,1940-08-30,1940-08-30,False,False
6053,Richard Perham,died in,Cambridge,2015-02-14,2015-02-14,False,False
6054,David Oates (archaeologist),died in,Cambridge,2004-03-22,2004-03-22,False,False
6055,Horace Lamb,died in,Cambridge,1934-12-04,1934-12-04,False,False
6056,Harold Jeffreys,died in,Cambridge,1989-03-18,1989-03-18,False,False
6057,Michael S. Longuet-Higgins,died in,Cambridge,2016-02-26,2016-02-26,False,False
6058,William Joscelyn Arkell,died in,Cambridge,1958-04-18,1958-04-18,False,False
6059,Alan Lloyd Hodgkin,died in,Cambridge,1998-12-20,1998-12-20,False,False
6060,Arthur Cayley,died in,Cambridge,1895-01-26,1895-01-26,False,False
6061,Arthur Eddington,died in,Cambridge,1944-11-22,1944-11-22,False,False
6062,Frederick Sanger,died in,Cambridge,2013-11-19,2013-11-19,False,False
6063,C. V. Raman,died in,Bangalore,1970-11-21,1970-11-21,False,False
6064,K. S. L. Swamy,died in,Bangalore,2015-10-20,2015-10-20,False,False
6065,Vaishali Kasaravalli,died in,Bangalore,2010-09-27,2010-09-27,False,False
6066,Brian Mills (television director),died in,Manchester,2006-06-03,2006-06-03,False,False
6067,John Charnley,died in,Manchester,1982-08-05,1982-08-05,False,False
6068,Tom Kilburn,died in,Manchester,2001-01-17,2001-01-17,False,False
6069,Frederic Calland Williams,died in,Manchester,1977-08-11,1977-08-11,False,False
6070,Yehuda Avner,died in,Jerusalem,2015-03-24,2015-03-24,False,False
6071,Golda Meir,died in,Jerusalem,1978-12-08,1978-12-08,False,False
6072,Gabrielle Hamilton (actress),died in,England,2014-##-##,2014-##-##,False,False
6073,Johnnie Mortimer,died in,England,1992-09-02,1992-09-02,False,False
6074,Christine Norden,died in,Isleworth,1988-09-21,1988-09-21,False,False
6075,"Ian Gilmour, Baron Gilmour of Craigmillar",died in,Isleworth,2007-09-21,2007-09-21,False,False
6076,Hollingsworth Morse,died in,"Studio City, Los Angeles",1988-01-23,1988-01-23,False,False
6077,Linda Stirling,died in,"Studio City, Los Angeles",1997-07-20,1997-07-20,False,False
6078,Richard Brooks,died in,"Studio City, Los Angeles",1992-03-11,1992-03-11,False,False
6079,Henrietta Valor,died in,"Studio City, Los Angeles",2007-11-23,2007-11-23,False,False
6080,Pete Candoli,died in,"Studio City, Los Angeles",2008-01-11,2008-01-11,False,False
6081,Thomas Dwight (politician),died in,"Springfield, Massachusetts",1819-01-02,1819-01-02,False,False
6082,Studs Terkel,died in,Chicago,2008-10-31,2008-10-31,False,False
6083,Ludwig Mies van der Rohe,died in,Chicago,1969-08-17,1969-08-17,False,False
6084,Margaret Walker,died in,Chicago,1998-11-30,1998-11-30,False,False
6085,Barbara Sizemore,died in,Chicago,2004-07-24,2004-07-24,False,False
6086,Michael Heisley,died in,Chicago,2014-04-26,2014-04-26,False,False
6087,Barbara Trentham,died in,Chicago,2013-08-02,2013-08-02,False,False
6088,Solon Spencer Beman,died in,Chicago,1914-04-23,1914-04-23,False,False
6089,Subrahmanyan Chandrasekhar,died in,Chicago,1995-08-21,1995-08-21,False,False
6090,Samuel King Allison,died in,Chicago,1965-09-15,1965-09-15,False,False
6091,George Stigler,died in,Chicago,1991-12-01,1991-12-01,False,False
6092,Frank O'Bannon,died in,Chicago,2003-09-13,2003-09-13,False,False
6093,Enrico Fermi,died in,Chicago,1954-11-28,1954-11-28,False,False
6094,E. H. Moore,died in,Chicago,1932-12-30,1932-12-30,False,False
6095,Sho-Chieh Tsiang,died in,Chicago,1993-10-21,1993-10-21,False,False
6096,George Halas,died in,Chicago,1983-10-31,1983-10-31,False,False
6097,John Pople,died in,Chicago,2004-03-15,2004-03-15,False,False
6098,Gary Becker,died in,Chicago,2014-05-03,2014-05-03,False,False
6099,Norman Maclean,died in,Chicago,1990-08-02,1990-08-02,False,False
6100,Frank Hogan,died in,New York City,1974-04-02,1974-04-02,False,False
6101,Valerie French (actress),died in,New York City,1990-11-03,1990-11-03,False,False
6102,Fred Joseph,died in,New York City,2009-11-27,2009-11-27,False,False
6103,Robert Anderson (playwright),died in,New York City,2009-02-09,2009-02-09,False,False
6104,Kay Thompson,died in,New York City,1998-07-02,1998-07-02,False,False
6105,Ian Keith,died in,New York City,1960-03-26,1960-03-26,False,False
6106,Cass Canfield,died in,New York City,1986-03-27,1986-03-27,False,False
6107,Michael F. Dwyer,died in,New York City,1906-##-##,1906-##-##,False,False
6108,William C. Durant,died in,New York City,1947-03-18,1947-03-18,False,False
6109,Learned Hand,died in,New York City,1961-08-18,1961-08-18,False,False
6110,Arthur Daley (sportswriter),died in,New York City,1974-01-03,1974-01-03,False,False
6111,Francis Peyton Rous,died in,New York City,1970-02-16,1970-02-16,False,False
6112,Carl Van Vechten,died in,New York City,1964-12-21,1964-12-21,False,False
6113,John Hays Hammond Jr.,died in,New York City,1965-02-12,1965-02-12,False,False
6114,Basil Rathbone,died in,New York City,1967-07-21,1967-07-21,False,False
6115,Robert Ogden Doremus,died in,New York City,1906-03-22,1906-03-22,False,False
6116,Ricardo Cortez,died in,New York City,1977-04-28,1977-04-28,False,False
6117,Mel Bourne,died in,New York City,2003-01-14,2003-01-14,False,False
6118,Jonathan Larson,died in,New York City,1996-01-25,1996-01-25,False,False
6119,George S. Kaufman,died in,New York City,1961-06-02,1961-06-02,False,False
6120,Margot Stevenson,died in,New York City,2011-01-02,2011-01-02,False,False
6121,John Davis Lodge,died in,New York City,1985-10-29,1985-10-29,False,False
6122,Guthrie McClintic,died in,New York City,1961-10-29,1961-10-29,False,False
6123,Stephen G. Wheatland,died in,New York City,1892-03-02,1892-03-02,False,False
6124,William Keighley,died in,New York City,1984-06-24,1984-06-24,False,False
6125,Herbert Freudenberger,died in,New York City,1999-11-29,1999-11-29,False,False
6126,Oliver Wolcott Jr.,died in,New York City,1833-06-01,1833-06-01,False,False
6127,James Otto Lewis,died in,New York City,1858-11-02,1858-11-02,False,False
6128,Elżbieta Czyżewska,died in,New York City,2010-06-17,2010-06-17,False,False
6129,Theodore R. Kupferman,died in,New York City,2003-09-23,2003-09-23,False,False
6130,James Goldman,died in,New York City,1998-10-28,1998-10-28,False,False
6131,Kelvin Lancaster,died in,New York City,1999-07-23,1999-07-23,False,False
6132,Theresa Hak Kyung Cha,died in,New York City,1982-11-05,1982-11-05,False,False
6133,Bob Marshall (wilderness activist),died in,New York City,1939-11-11,1939-11-11,False,False
6134,Hazel Rowley,died in,New York City,2011-03-01,2011-03-01,False,False
6135,George L. Harrison,died in,New York City,1958-03-05,1958-03-05,False,False
6136,Gloria Foster,died in,New York City,2001-09-29,2001-09-29,False,False
6137,Jack Weston,died in,New York City,1996-05-03,1996-05-03,False,False
6138,Leonora Speyer,died in,New York City,1956-02-10,1956-02-10,False,False
6139,Maria Karnilova,died in,New York City,2001-04-20,2001-04-20,False,False
6140,Alan Jay Lerner,died in,New York City,1986-06-14,1986-06-14,False,False
6141,Chien-Shiung Wu,died in,New York City,1997-02-16,1997-02-16,False,False
6142,Michael Stewart (playwright),died in,New York City,1987-09-20,1987-09-20,False,False
6143,Myrna Loy,died in,New York City,1993-12-14,1993-12-14,False,False
6144,Osborn Elliott,died in,New York City,2008-09-28,2008-09-28,False,False
6145,Betty Lawford,died in,New York City,1960-11-20,1960-11-20,False,False
6146,William Lindsay Gresham,died in,New York City,1962-09-14,1962-09-14,False,False
6147,Blanche Yurka,died in,New York City,1974-06-06,1974-06-06,False,False
6148,Ogden L. Mills,died in,New York City,1937-10-11,1937-10-11,False,False
6149,Hugh Parker Guiler,died in,New York City,1985-01-07,1985-01-07,False,False
6150,Bülent Arınç,died in,New York City,2017-05-15,2017-05-15,False,False
6151,Mark Goodson,died in,New York City,1992-12-18,1992-12-18,False,False
6152,Gloria Grahame,died in,New York City,1981-10-05,1981-10-05,False,False
6153,John Ashley (actor),died in,New York City,1997-10-03,1997-10-03,False,False
6154,Hugh Marlowe,died in,New York City,1982-05-02,1982-05-02,False,False
6155,Robert E. Sherwood,died in,New York City,1955-11-14,1955-11-14,False,False
6156,Tommy Flanagan,died in,New York City,2001-11-16,2001-11-16,False,False
6157,Claudia Cohen,died in,New York City,2007-06-15,2007-06-15,False,False
6158,Peter S. Albin,died in,New York City,2008-02-20,2008-02-20,False,False
6159,Wassily Leontief,died in,New York City,1999-02-05,1999-02-05,False,False
6160,Peter K. Leisure,died in,New York City,2013-09-17,2013-09-17,False,False
6161,Helen Stenborg,died in,New York City,2011-03-22,2011-03-22,False,False
6162,Donald Othmer,died in,New York City,1995-11-01,1995-11-01,False,False
6163,Abe Burrows,died in,New York City,1985-05-17,1985-05-17,False,False
6164,Billy Strayhorn,died in,New York City,1967-05-31,1967-05-31,False,False
6165,Muriel Rahn,died in,New York City,1961-08-08,1961-08-08,False,False
6166,Nicholas Dante,died in,New York City,1991-05-21,1991-05-21,False,False
6167,Eunice Carter,died in,New York City,1970-01-25,1970-01-25,False,False
6168,Felix Morrow,died in,New York City,1988-05-28,1988-05-28,False,False
6169,Milton Pollack,died in,New York City,2004-08-13,2004-08-13,False,False
6170,Ouida Bergère,died in,New York City,1974-11-29,1974-11-29,False,False
6171,Hugh Auchincloss Steers,died in,New York City,1995-03-01,1995-03-01,False,False
6172,John Steinbeck,died in,New York City,1968-12-20,1968-12-20,False,False
6173,Joshua Lederberg,died in,New York City,2008-02-02,2008-02-02,False,False
6174,Philip Sporn,died in,New York City,1978-01-23,1978-01-23,False,False
6175,John N. Bahcall,died in,New York City,2005-08-17,2005-08-17,False,False
6176,Stephen Vincent Benét,died in,New York City,1943-03-13,1943-03-13,False,False
6177,Mihajlo Pupin,died in,New York City,1935-03-12,1935-03-12,False,False
6178,Ludwig Bemelmans,died in,New York City,1962-10-01,1962-10-01,False,False
6179,Gerard Piel,died in,New York City,2004-09-05,2004-09-05,False,False
6180,Marc Connelly,died in,New York City,1980-12-21,1980-12-21,False,False
6181,Barnard Hughes,died in,New York City,2006-07-11,2006-07-11,False,False
6182,Franchot Tone,died in,New York City,1968-09-18,1968-09-18,False,False
6183,Erick Hawkins,died in,New York City,1994-11-23,1994-11-23,False,False
6184,Clay Felker,died in,New York City,2008-07-01,2008-07-01,False,False
6185,Ruth Nelson (actress),died in,New York City,1992-09-12,1992-09-12,False,False
6186,Rudolph Valentino,died in,New York City,1926-08-23,1926-08-23,False,False
6187,Malcolm Williams (actor),died in,New York City,1937-06-10,1937-06-10,False,False
6188,Geraldine Page,died in,New York City,1987-06-13,1987-06-13,False,False
6189,Mary Dimmick Harrison,died in,New York City,1948-01-05,1948-01-05,False,False
6190,Aline MacMahon,died in,New York City,1991-10-12,1991-10-12,False,False
6191,Ruth Ford (actress),died in,New York City,2009-08-12,2009-08-12,False,False
6192,Geoffrey Holder,died in,New York City,2014-10-05,2014-10-05,False,False
6193,Tony Adams (producer),died in,New York City,2005-10-22,2005-10-22,False,False
6194,Lex Barker,died in,New York City,1973-05-11,1973-05-11,False,False
6195,Max Reinhardt,died in,New York City,1943-10-30,1943-10-30,False,False
6196,Billy Rose,died in,New York City,1966-02-10,1966-02-10,False,False
6197,Thayer David,died in,New York City,1978-07-17,1978-07-17,False,False
6198,Harold Nicholas,died in,New York City,2000-07-03,2000-07-03,False,False
6199,Dorothy Peterson,died in,New York City,1979-10-03,1979-10-03,False,False
6200,Dick Campbell (producer),died in,New York City,1994-12-20,1994-12-20,False,False
6201,Conrad Nagel,died in,New York City,1970-02-24,1970-02-24,False,False
6202,Emil Leon Post,died in,New York City,1954-04-21,1954-04-21,False,False
6203,Djuna Barnes,died in,New York City,1982-06-18,1982-06-18,False,False
6204,Emery Roth,died in,New York City,1948-08-20,1948-08-20,False,False
6205,Howell Cobb,died in,New York City,1868-10-09,1868-10-09,False,False
6206,Wendell Willkie,died in,New York City,1944-10-08,1944-10-08,False,False
6207,Noah Haynes Swayne,died in,New York City,1884-06-08,1884-06-08,False,False
6208,Madeline Hurlock,died in,New York City,1989-04-04,1989-04-04,False,False
6209,Roy Innis,died in,New York City,2017-01-08,2017-01-08,False,False
6210,Edwin Atherton,died in,"Santa Monica, California",1944-08-31,1944-08-31,False,False
6211,Beth Howland,died in,"Santa Monica, California",2015-12-31,2015-12-31,False,False
6212,Lynn Bari,died in,"Santa Monica, California",1989-11-20,1989-11-20,False,False
6213,Joanne Siegel,died in,"Santa Monica, California",2011-02-12,2011-02-12,False,False
6214,Joi Lansing,died in,"Santa Monica, California",1972-08-07,1972-08-07,False,False
6215,Gene Roddenberry,died in,"Santa Monica, California",1991-10-24,1991-10-24,False,False
6216,Mary Pickford,died in,"Santa Monica, California",1979-05-29,1979-05-29,False,False
6217,Mildred Davis,died in,"Santa Monica, California",1969-08-18,1969-08-18,False,False
6218,Troy Donahue,died in,"Santa Monica, California",2001-09-02,2001-09-02,False,False
6219,Simon Ramo,died in,"Santa Monica, California",2016-06-27,2016-06-27,False,False
6220,Marion Byron,died in,"Santa Monica, California",1985-07-05,1985-07-05,False,False
6221,Sidney Luft,died in,"Santa Monica, California",2005-09-15,2005-09-15,False,False
6222,Myron Selznick,died in,"Santa Monica, California",1944-03-23,1944-03-23,False,False
6223,Bonita Granville,died in,"Santa Monica, California",1988-10-11,1988-10-11,False,False
6224,Natalie Talmadge,died in,"Santa Monica, California",1969-06-19,1969-06-19,False,False
6225,H. Wesley Kenney,died in,"Santa Monica, California",2015-01-13,2015-01-13,False,False
6226,Hal Mohr,died in,"Santa Monica, California",1974-05-10,1974-05-10,False,False
6227,David Swift (director),died in,"Santa Monica, California",2001-12-31,2001-12-31,False,False
6228,Fay Kanin,died in,"Santa Monica, California",2013-03-27,2013-03-27,False,False
6229,James Lee (screenwriter),died in,"Santa Monica, California",2002-07-02,2002-07-02,False,False
6230,Jack Wrather,died in,"Santa Monica, California",1984-11-12,1984-11-12,False,False
6231,Pauline Curley,died in,"Santa Monica, California",2000-12-11,2000-12-11,False,False
6232,Gwen Welles,died in,"Santa Monica, California",1993-10-13,1993-10-13,False,False
6233,Jean Simmons,died in,"Santa Monica, California",2010-01-22,2010-01-22,False,False
6234,Alaina Reed Hall,died in,"Santa Monica, California",2009-12-17,2009-12-17,False,False
6235,Gene Lockhart,died in,"Santa Monica, California",1957-03-31,1957-03-31,False,False
6236,Olaf Pooley,died in,"Santa Monica, California",2015-07-14,2015-07-14,False,False
6237,Philip Bourneuf,died in,"Santa Monica, California",1979-03-23,1979-03-23,False,False
6238,Clarence Brown,died in,"Santa Monica, California",1987-08-17,1987-08-17,False,False
6239,Wende Wagner,died in,"Santa Monica, California",1997-02-26,1997-02-26,False,False
6240,Conrad Hall,died in,"Santa Monica, California",2003-01-06,2003-01-06,False,False
6241,Fred MacMurray,died in,"Santa Monica, California",1991-11-05,1991-11-05,False,False
6242,Hope Lange,died in,"Santa Monica, California",2003-12-19,2003-12-19,False,False
6243,William Hawks,died in,"Santa Monica, California",1969-01-10,1969-01-10,False,False
6244,Dennis O'Keefe,died in,"Santa Monica, California",1968-08-31,1968-08-31,False,False
6245,John W. Brunius,died in,Stockholm,1937-12-16,1937-12-16,False,False
6246,Sofia Kovalevskaya,died in,Stockholm,1891-02-10,1891-02-10,False,False
6247,August Strindberg,died in,Stockholm,1912-05-14,1912-05-14,False,False
6248,Erland Josephson,died in,Stockholm,2012-02-25,2012-02-25,False,False
6249,Svante Arrhenius,died in,Stockholm,1927-10-02,1927-10-02,False,False
6250,Manne Siegbahn,died in,Stockholm,1978-09-26,1978-09-26,False,False
6251,Victor Sjöström,died in,Stockholm,1960-01-03,1960-01-03,False,False
6252,Frida Winnerstrand,died in,Stockholm,1943-12-01,1943-12-01,False,False
6253,Rut Holm,died in,Stockholm,1971-07-04,1971-07-04,False,False
6254,Ernst Rolf,died in,Stockholm,1932-12-25,1932-12-25,False,False
6255,Marcel Roche,died in,Miami,2003-05-03,2003-05-03,False,False
6256,Frank Conrad,died in,Miami,1874-##-##,1874-##-##,False,False
6257,Earl Wilbur Sutherland Jr.,died in,Miami,1974-03-09,1974-03-09,False,False
6258,Reuben Leon Kahn,died in,Miami,1979-07-22,1979-07-22,False,False
6259,Harry Solter,died in,"El Paso, Texas",1920-03-02,1920-03-02,False,False
6260,James B. Donovan,died in,Brooklyn,1970-01-19,1970-01-19,False,False
6261,Nella Larsen,died in,Brooklyn,1964-03-30,1964-03-30,False,False
6262,Edgardo Vega Yunqué,died in,Brooklyn,2008-08-26,2008-08-26,False,False
6263,Rita Hayworth,died in,Manhattan,1987-05-14,1987-05-14,False,False
6264,Abram Fitkin,died in,Manhattan,1933-03-18,1933-03-18,False,False
6265,Kitty Carlisle,died in,Manhattan,2007-04-17,2007-04-17,False,False
6266,Gene Persson,died in,Manhattan,2008-06-06,2008-06-06,False,False
6267,George S. Irving,died in,Manhattan,2016-12-26,2016-12-26,False,False
6268,Joan Crawford,died in,Manhattan,1977-05-10,1977-05-10,False,False
6269,Arthur M. Schlesinger Jr.,died in,Manhattan,2007-02-28,2007-02-28,False,False
6270,Ilse Bing,died in,Manhattan,1998-03-10,1998-03-10,False,False
6271,Malcolm X,died in,Manhattan,1965-02-21,1965-02-21,False,False
6272,Joan Rivers,died in,Manhattan,2014-09-04,2014-09-04,False,False
6273,Stephen Jay Gould,died in,Manhattan,2002-05-20,2002-05-20,False,False
6274,Stanford White,died in,Manhattan,1906-06-25,1906-06-25,False,False
6275,Richard Kollmar,died in,Manhattan,1971-01-07,1971-01-07,False,False
6276,Gerald Walpin,died in,Manhattan,2016-06-24,2016-06-24,False,False
6277,Marshall Berman,died in,Manhattan,2013-09-11,2013-09-11,False,False
6278,Dorothy Kilgallen,died in,Manhattan,1965-11-08,1965-11-08,False,False
6279,Werner Klemperer,died in,Manhattan,2000-12-06,2000-12-06,False,False
6280,Joey Adams,died in,Manhattan,1999-12-02,1999-12-02,False,False
6281,Cornelius Vanderbilt,died in,Manhattan,1877-01-04,1877-01-04,False,False
6282,Edwin Howard Armstrong,died in,Manhattan,1954-01-31,1954-01-31,False,False
6283,Alexander Schneider,died in,Manhattan,1993-02-02,1993-02-02,False,False
6284,Emma Eames,died in,Manhattan,1952-06-13,1952-06-13,False,False
6285,Gower Champion,died in,Manhattan,1980-08-25,1980-08-25,False,False
6286,Bob Thiele,died in,Manhattan,1996-01-30,1996-01-30,False,False
6287,Lena Horne,died in,Manhattan,2010-05-09,2010-05-09,False,False
6288,Ethel Merman,died in,Manhattan,1984-02-15,1984-02-15,False,False
6289,Norma Eberhardt,died in,Manhattan,2011-09-16,2011-09-16,False,False
6290,Martha Gellhorn,died in,London,1998-02-15,1998-02-15,False,False
6291,Bernard Katz,died in,London,2003-04-20,2003-04-20,False,False
6292,Vivien Merchant,died in,London,1982-10-03,1982-10-03,False,False
6293,George Stubbs,died in,London,1806-07-10,1806-07-10,False,False
6294,Penelope Dudley-Ward,died in,London,1982-01-22,1982-01-22,False,False
6295,Christopher Robbins,died in,London,2012-12-24,2012-12-24,False,False
6296,Martha Bernays,died in,London,1951-11-02,1951-11-02,False,False
6297,John Merivale,died in,London,1990-02-06,1990-02-06,False,False
6298,Albert Parker (director),died in,London,1974-08-10,1974-08-10,False,False
6299,A. A. Gill,died in,London,2016-12-10,2016-12-10,False,False
6300,Dick Sharples,died in,London,2015-10-19,2015-10-19,False,False
6301,Bebe Daniels,died in,London,1971-03-16,1971-03-16,False,False
6302,Gordon Jackson (actor),died in,London,1990-01-15,1990-01-15,False,False
6303,Elfriede Geiringer,died in,London,1998-10-02,1998-10-02,False,False
6304,Dennis Gabor,died in,London,1979-02-09,1979-02-09,False,False
6305,Elizabeth Bowen,died in,London,1973-02-22,1973-02-22,False,False
6306,Richard Norman Shaw,died in,London,1912-##-##,1912-##-##,False,False
6307,Patrick Blackett,died in,London,1974-07-13,1974-07-13,False,False
6308,Angus MacKay (actor),died in,London,2013-06-08,2013-06-08,False,False
6309,Hans Irvine,died in,London,1922-07-11,1922-07-11,False,False
6310,Peter Murray-Hill,died in,London,1957-11-25,1957-11-25,False,False
6311,James Stirling (architect),died in,London,1992-06-25,1992-06-25,False,False
6312,David Gest,died in,London,2016-04-12,2016-04-12,False,False
6313,Harry Fowler,died in,London,2012-01-04,2012-01-04,False,False
6314,Gordon Gostelow,died in,London,2007-06-03,2007-06-03,False,False
6315,Silvio Narizzano,died in,London,2011-07-26,2011-07-26,False,False
6316,William Moore (actor),died in,London,2000-04-24,2000-04-24,False,False
6317,Phyllis Calvert,died in,London,2002-10-08,2002-10-08,False,False
6318,Barbara New,died in,London,2010-05-24,2010-05-24,False,False
6319,Cyril Norman Hinshelwood,died in,London,1967-10-09,1967-10-09,False,False
6320,Mary Ellis,died in,London,2003-01-30,2003-01-30,False,False
6321,Ken Russell,died in,London,2011-11-27,2011-11-27,False,False
6322,Sylvia Plath,died in,London,1963-02-11,1963-02-11,False,False
6323,Jill Bennett (British actress),died in,London,1990-10-04,1990-10-04,False,False
6324,Bob Peck,died in,London,1999-04-04,1999-04-04,False,False
6325,Sonnie Hale,died in,London,1959-06-09,1959-06-09,False,False
6326,André Morell,died in,London,1978-11-28,1978-11-28,False,False
6327,Joseph Rotblat,died in,London,2005-08-31,2005-08-31,False,False
6328,Richard Neustadt,died in,London,2003-10-31,2003-10-31,False,False
6329,Tom Kibble,died in,London,2016-06-02,2016-06-02,False,False
6330,Peter Medawar,died in,London,1987-10-02,1987-10-02,False,False
6331,Clemence Dane,died in,London,1965-03-28,1965-03-28,False,False
6332,Joan Greenwood,died in,London,1987-02-28,1987-02-28,False,False
6333,Hazel Lavery,died in,London,1935-01-01,1935-01-01,False,False
6334,Isabel Jeans,died in,London,1985-09-04,1985-09-04,False,False
6335,Eleanor Summerfield,died in,London,2001-07-13,2001-07-13,False,False
6336,G. Evelyn Hutchinson,died in,London,1991-05-17,1991-05-17,False,False
6337,Alexander Morgan Hamilton,died in,London,1970-05-29,1970-05-29,False,False
6338,Katrin Cartlidge,died in,London,2002-09-07,2002-09-07,False,False
6339,William Squire,died in,London,1989-05-03,1989-05-03,False,False
6340,John Hollis,died in,London,2005-10-18,2005-10-18,False,False
6341,John Loder (actor),died in,London,1988-12-26,1988-12-26,False,False
6342,Luise Rainer,died in,London,2014-12-30,2014-12-30,False,False
6343,Dev Anand,died in,London,2011-12-03,2011-12-03,False,False
6344,George Edmund Street,died in,London,1881-12-18,1881-12-18,False,False
6345,Geoffrey Wilkinson,died in,London,1996-09-26,1996-09-26,False,False
6346,James Black (pharmacologist),died in,London,2010-03-22,2010-03-22,False,False
6347,Michael Barrington,died in,London,1988-06-05,1988-06-05,False,False
6348,Bessie Love,died in,London,1986-04-26,1986-04-26,False,False
6349,Leonard Sachs,died in,London,1990-06-15,1990-06-15,False,False
6350,Sheila Gish,died in,London,2005-03-09,2005-03-09,False,False
6351,Patrick Holt,died in,London,1993-10-12,1993-10-12,False,False
6352,Rosamund John,died in,London,1998-10-27,1998-10-27,False,False
6353,Basil Sydney,died in,London,1968-01-10,1968-01-10,False,False
6354,Shirley Ann Russell,died in,London,2002-03-04,2002-03-04,False,False
6355,Anthony Havelock-Allan,died in,London,2003-01-11,2003-01-11,False,False
6356,Joan Dowling,died in,London,1954-03-31,1954-03-31,False,False
6357,Jimmy Sangster,died in,London,2011-08-19,2011-08-19,False,False
6358,Michael Gough,died in,London,2011-03-17,2011-03-17,False,False
6359,Sally Beauman,died in,London,2016-07-07,2016-07-07,False,False
6360,Robert Donat,died in,London,1958-06-09,1958-06-09,False,False
6361,Terry Duggan,died in,London,2008-05-01,2008-05-01,False,False
6362,Mary Hemingway Rees,died in,London,1954-10-04,1954-10-04,False,False
6363,Ted Hughes,died in,London,1998-10-28,1998-10-28,False,False
6364,"George Thomson, Baron Thomson of Monifieth",died in,London,2008-10-03,2008-10-03,False,False
6365,Jeremy Lloyd,died in,London,2014-12-23,2014-12-23,False,False
6366,Robert Z. Leonard,died in,"Beverly Hills, California",1968-08-27,1968-08-27,False,False
6367,Paula Murad Coburn,died in,"Beverly Hills, California",2004-07-30,2004-07-30,False,False
6368,Shelley Winters,died in,"Beverly Hills, California",2006-01-14,2006-01-14,False,False
6369,Toni Mannix,died in,"Beverly Hills, California",1983-09-02,1983-09-02,False,False
6370,Florence Lawrence,died in,"Beverly Hills, California",1938-12-28,1938-12-28,False,False
6371,Jerry Goldsmith,died in,"Beverly Hills, California",2004-07-21,2004-07-21,False,False
6372,Kirk Kerkorian,died in,"Beverly Hills, California",2015-06-15,2015-06-15,False,False
6373,Harry Brand,died in,"Beverly Hills, California",1989-02-22,1989-02-22,False,False
6374,Gertrude Olmstead,died in,"Beverly Hills, California",1975-01-18,1975-01-18,False,False
6375,Adolphe Menjou,died in,"Beverly Hills, California",1963-10-29,1963-10-29,False,False
6376,Mary Ann Mobley,died in,"Beverly Hills, California",2014-12-09,2014-12-09,False,False
6377,Peter Falk,died in,"Beverly Hills, California",2011-06-23,2011-06-23,False,False
6378,Sybil Brand,died in,"Beverly Hills, California",2004-02-17,2004-02-17,False,False
6379,Jan Murray,died in,"Beverly Hills, California",2006-07-02,2006-07-02,False,False
6380,Eleanor Powell,died in,"Beverly Hills, California",1982-02-11,1982-02-11,False,False
6381,Steffi Duna,died in,"Beverly Hills, California",1992-04-22,1992-04-22,False,False
6382,Estelle Reiner,died in,"Beverly Hills, California",2008-10-25,2008-10-25,False,False
6383,Sam Schulman,died in,"Beverly Hills, California",2003-06-12,2003-06-12,False,False
6384,Charles Russell (actor),died in,"Beverly Hills, California",1985-01-18,1985-01-18,False,False
6385,Frances Howard (actress),died in,"Beverly Hills, California",1976-07-02,1976-07-02,False,False
6386,James Stewart,died in,"Beverly Hills, California",1997-07-02,1997-07-02,False,False
6387,Owen Moore,died in,"Beverly Hills, California",1939-06-09,1939-06-09,False,False
6388,Eddie Mannix,died in,"Beverly Hills, California",1963-08-30,1963-08-30,False,False
6389,Robert Six,died in,"Beverly Hills, California",1986-10-06,1986-10-06,False,False
6390,Frances Reid,died in,"Beverly Hills, California",2010-02-03,2010-02-03,False,False
6391,Lew Cody,died in,"Beverly Hills, California",1934-05-31,1934-05-31,False,False
6392,Joan Gardner,died in,"Beverly Hills, California",1999-09-17,1999-09-17,False,False
6393,Clarence A. Shoop,died in,"Beverly Hills, California",1968-01-27,1968-01-27,False,False
6394,Glenn Ford,died in,"Beverly Hills, California",2006-08-30,2006-08-30,False,False
6395,James Coburn,died in,"Beverly Hills, California",2002-11-18,2002-11-18,False,False
6396,Harold Lloyd,died in,"Beverly Hills, California",1971-03-08,1971-03-08,False,False
6397,Stuart Erwin,died in,"Beverly Hills, California",1967-12-21,1967-12-21,False,False
